Año,Trimestre,Provincia,Tecnología,value
2019,2,Tierra Del Fuego,ADSL,19790.0
2019,2,Tucumán,ADSL,153121.0
2019,1,Buenos Aires,ADSL,1304507.0
2019,1,Capital Federal,ADSL,328246.0
2019,1,Catamarca,ADSL,26912.0
2019,1,Chaco,ADSL,53409.0
2019,1,Chubut,ADSL,37302.0
2019,1,Córdoba,ADSL,323272.0
2019,1,Corrientes,ADSL,55842.0
2019,1,Entre Ríos,ADSL,100999.0
2019,1,Formosa,ADSL,22570.0
2019,1,Jujuy,ADSL,33248.0
2019,1,La Pampa,ADSL,18832.0
2019,1,La Rioja,ADSL,16367.0
2019,1,Mendoza,ADSL,148524.0
2019,1,Misiones,ADSL,54898.0
2019,1,Neuquén,ADSL,40747.0
2019,1,Río Negro,ADSL,68377.0
2019,1,Salta,ADSL,74426.0
2019,1,San Juan,ADSL,51660.0
2019,1,San Luis,ADSL,11108.0
2019,1,Santa Cruz,ADSL,10659.0
2019,1,Santa Fe,ADSL,340038.0
2019,1,Santiago Del Estero,ADSL,25337.0
2019,1,Tierra Del Fuego,ADSL,19789.0
2019,1,Tucumán,ADSL,159215.0
2018,4,Buenos Aires,ADSL,1305576.0
2018,4,Capital Federal,ADSL,328253.0
2018,4,Catamarca,ADSL,26912.0
2018,4,Chaco,ADSL,53409.0
2018,4,Chubut,ADSL,37215.0
2018,4,Córdoba,ADSL,328854.0
2018,4,Corrientes,ADSL,55842.0
2018,4,Entre Ríos,ADSL,101168.0
2018,4,Formosa,ADSL,22619.0
2018,4,Jujuy,ADSL,33248.0
2018,4,La Pampa,ADSL,18832.0
2018,4,La Rioja,ADSL,16367.0
2018,4,Mendoza,ADSL,148524.0
2018,4,Misiones,ADSL,55500.0
2018,4,Neuquén,ADSL,40747.0
2018,4,Río Negro,ADSL,68377.0
2018,4,Salta,ADSL,74295.0
2018,4,San Juan,ADSL,51660.0
2018,4,San Luis,ADSL,11108.0
2018,4,Santa Cruz,ADSL,10659.0
2018,4,Santa Fe,ADSL,335519.0
2018,4,Santiago Del Estero,ADSL,25339.0
2018,4,Tierra Del Fuego,ADSL,19789.0
2018,4,Tucumán,ADSL,159215.0
2018,3,Buenos Aires,ADSL,1435856.0
2018,3,Capital Federal,ADSL,334353.0
2018,3,Catamarca,ADSL,27553.0
2018,3,Chaco,ADSL,53927.0
2018,3,Chubut,ADSL,58887.0
2018,3,Córdoba,ADSL,337620.0
2018,3,Corrientes,ADSL,56444.0
2018,3,Entre Ríos,ADSL,103318.0
2018,3,Formosa,ADSL,22777.0
2018,3,Jujuy,ADSL,33363.0
2018,3,La Pampa,ADSL,12415.0
2018,3,La Rioja,ADSL,16587.0
2018,3,Mendoza,ADSL,151033.0
2018,3,Misiones,ADSL,56290.0
2018,3,Neuquén,ADSL,46602.0
2018,3,Río Negro,ADSL,68590.0
2018,3,Salta,ADSL,76600.0
2018,3,San Juan,ADSL,54025.0
2018,3,San Luis,ADSL,11096.0
2018,3,Santa Cruz,ADSL,18606.0
2018,3,Santa Fe,ADSL,339126.0
2018,3,Santiago Del Estero,ADSL,25805.0
2018,3,Tierra Del Fuego,ADSL,19365.0
2018,3,Tucumán,ADSL,161209.0
2018,2,Buenos Aires,ADSL,1450203.0
2018,2,Capital Federal,ADSL,342431.0
2018,2,Catamarca,ADSL,27444.0
2018,2,Chaco,ADSL,54134.0
2018,2,Chubut,ADSL,58935.0
2018,2,Córdoba,ADSL,345141.0
2018,2,Corrientes,ADSL,56541.0
2018,2,Entre Ríos,ADSL,104811.0
2018,2,Formosa,ADSL,23543.0
2018,2,Jujuy,ADSL,33571.0
2018,2,La Pampa,ADSL,12416.0
2018,2,La Rioja,ADSL,16663.0
2018,2,Mendoza,ADSL,152938.0
2018,2,Misiones,ADSL,57265.0
2018,2,Neuquén,ADSL,46633.0
2018,2,Río Negro,ADSL,68667.0
2018,2,Salta,ADSL,78386.0
2018,2,San Juan,ADSL,54080.0
2018,2,San Luis,ADSL,11104.0
2018,2,Santa Cruz,ADSL,18615.0
2018,2,Santa Fe,ADSL,337934.0
2018,2,Santiago Del Estero,ADSL,26074.0
2018,2,Tierra Del Fuego,ADSL,19372.0
2018,2,Tucumán,ADSL,160315.0
2018,1,Buenos Aires,ADSL,1452061.0
2018,1,Capital Federal,ADSL,349995.0
2018,1,Catamarca,ADSL,27300.0
2018,1,Chaco,ADSL,54879.0
2018,1,Chubut,ADSL,56375.0
2018,1,Córdoba,ADSL,349342.0
2018,1,Corrientes,ADSL,56937.0
2018,1,Entre Ríos,ADSL,106998.0
2018,1,Formosa,ADSL,23556.0
2018,1,Jujuy,ADSL,33856.0
2018,1,La Pampa,ADSL,10807.0
2018,1,La Rioja,ADSL,16960.0
2018,1,Mendoza,ADSL,152931.0
2018,1,Misiones,ADSL,56311.0
2018,1,Neuquén,ADSL,46714.0
2018,1,Río Negro,ADSL,68769.0
2018,1,Salta,ADSL,79936.0
2018,1,San Juan,ADSL,54080.0
2018,1,San Luis,ADSL,11104.0
2018,1,Santa Cruz,ADSL,18615.0
2018,1,Santa Fe,ADSL,341997.0
2018,1,Santiago Del Estero,ADSL,26788.0
2018,1,Tierra Del Fuego,ADSL,19372.0
2018,1,Tucumán,ADSL,158611.0
2017,4,Buenos Aires,ADSL,1241172.0
2017,4,Capital Federal,ADSL,571363.0
2017,4,Catamarca,ADSL,27083.0
2017,4,Chaco,ADSL,55035.0
2017,4,Chubut,ADSL,56378.0
2017,4,Córdoba,ADSL,349710.0
2017,4,Corrientes,ADSL,56786.0
2017,4,Entre Ríos,ADSL,107764.0
2017,4,Formosa,ADSL,23410.0
2017,4,Jujuy,ADSL,33844.0
2017,4,La Pampa,ADSL,10808.0
2017,4,La Rioja,ADSL,16912.0
2017,4,Mendoza,ADSL,152896.0
2017,4,Misiones,ADSL,56271.0
2017,4,Neuquén,ADSL,46739.0
2017,4,Río Negro,ADSL,68690.0
2017,4,Salta,ADSL,80705.0
2017,4,San Juan,ADSL,54079.0
2017,4,San Luis,ADSL,11104.0
2017,4,Santa Cruz,ADSL,18614.0
2017,4,Santa Fe,ADSL,341680.0
2017,4,Santiago Del Estero,ADSL,27313.0
2017,4,Tierra Del Fuego,ADSL,19372.0
2017,4,Tucumán,ADSL,156583.0
2017,3,Buenos Aires,ADSL,1288025.0
2017,3,Capital Federal,ADSL,583249.0
2017,3,Catamarca,ADSL,26873.0
2017,3,Chaco,ADSL,54888.0
2017,3,Chubut,ADSL,56359.0
2017,3,Córdoba,ADSL,344580.0
2017,3,Corrientes,ADSL,56247.0
2017,3,Entre Ríos,ADSL,107774.0
2017,3,Formosa,ADSL,22647.0
2017,3,Jujuy,ADSL,33796.0
2017,3,La Pampa,ADSL,11378.0
2017,3,La Rioja,ADSL,16638.0
2017,3,Mendoza,ADSL,154036.0
2017,3,Misiones,ADSL,56472.0
2017,3,Neuquén,ADSL,48001.0
2017,3,Río Negro,ADSL,69301.0
2017,3,Salta,ADSL,80782.0
2017,3,San Juan,ADSL,54499.0
2017,3,San Luis,ADSL,11407.0
2017,3,Santa Cruz,ADSL,19220.0
2017,3,Santa Fe,ADSL,322953.0
2017,3,Santiago Del Estero,ADSL,27733.0
2017,3,Tierra Del Fuego,ADSL,21587.0
2017,3,Tucumán,ADSL,154130.0
2017,2,Buenos Aires,ADSL,1378549.0
2017,2,Capital Federal,ADSL,615262.0
2017,2,Catamarca,ADSL,26401.0
2017,2,Chaco,ADSL,54449.0
2017,2,Chubut,ADSL,43994.0
2017,2,Córdoba,ADSL,341748.0
2017,2,Corrientes,ADSL,55262.0
2017,2,Entre Ríos,ADSL,108309.0
2017,2,Formosa,ADSL,22493.0
2017,2,Jujuy,ADSL,33742.0
2017,2,La Pampa,ADSL,12754.0
2017,2,La Rioja,ADSL,16244.0
2017,2,Mendoza,ADSL,153331.0
2017,2,Misiones,ADSL,56752.0
2017,2,Neuquén,ADSL,51794.0
2017,2,Río Negro,ADSL,67038.0
2017,2,Salta,ADSL,80184.0
2017,2,San Juan,ADSL,48670.0
2017,2,San Luis,ADSL,11432.0
2017,2,Santa Cruz,ADSL,15311.0
2017,2,Santa Fe,ADSL,329813.0
2017,2,Santiago Del Estero,ADSL,28337.0
2017,2,Tierra Del Fuego,ADSL,22636.0
2017,2,Tucumán,ADSL,149013.0
2017,1,Buenos Aires,ADSL,1559178.0
2017,1,Capital Federal,ADSL,428801.0
2017,1,Catamarca,ADSL,26020.0
2017,1,Chaco,ADSL,54430.0
2017,1,Chubut,ADSL,43994.0
2017,1,Córdoba,ADSL,335673.0
2017,1,Corrientes,ADSL,54993.0
2017,1,Entre Ríos,ADSL,108509.0
2017,1,Formosa,ADSL,22438.0
2017,1,Jujuy,ADSL,33869.0
2017,1,La Pampa,ADSL,12754.0
2017,1,La Rioja,ADSL,16180.0
2017,1,Mendoza,ADSL,153326.0
2017,1,Misiones,ADSL,57363.0
2017,1,Neuquén,ADSL,51771.0
2017,1,Río Negro,ADSL,67075.0
2017,1,Salta,ADSL,79837.0
